freq,psd_x,psd_y,psd_z,psd_xyz
162.4,6.269e+04,1.310e+04,4.469e+03,8.026e+04
163.6,1.012e+05,2.080e+04,5.745e+03,1.277e+05
164.9,1.198e+05,2.547e+04,6.006e+03,1.513e+05
166.1,7.835e+04,1.432e+04,4.528e+03,9.720e+04
167.4,1.135e+05,1.943e+04,5.364e+03,1.383e+05
168.6,2.472e+05,4.819e+04,9.989e+03,3.054e+05
169.9,2.135e+05,3.950e+04,8.806e+03,2.618e+05
171.1,1.322e+05,1.912e+04,5.781e+03,1.571e+05
172.4,1.576e+05,2.683e+04,7.321e+03,1.917e+05
173.6,1.523e+05,2.744e+04,7.171e+03,1.869e+05
174.9,1.837e+05,3.329e+04,8.171e+03,2.251e+05
176.1,1.968e+05,3.848e+04,8.711e+03,2.440e+05
177.4,1.589e+05,3.184e+04,7.615e+03,1.984e+05
178.6,1.573e+05,3.147e+04,7.736e+03,1.965e+05
179.9,1.765e+05,3.641e+04,8.474e+03,2.214e+05
181.1,1.236e+05,2.356e+04,7.159e+03,1.543e+05
182.4,1.534e+05,2.907e+04,8.072e+03,1.905e+05
183.6,1.550e+05,2.976e+04,8.251e+03,1.930e+05
184.9,1.570e+05,3.167e+04,8.530e+03,1.972e+05
186.1,1.015e+05,1.848e+04,6.142e+03,1.261e+05
187.4,1.374e+05,2.439e+04,8.645e+03,1.704e+05
188.6,1.494e+05,2.609e+04,9.446e+03,1.850e+05
189.9,8.409e+04,1.352e+04,6.240e+03,1.039e+05
191.1,8.733e+04,1.526e+04,6.756e+03,1.094e+05
192.4,1.154e+05,2.146e+04,8.701e+03,1.456e+05
193.6,1.123e+05,2.145e+04,8.812e+03,1.425e+05
194.9,9.217e+04,1.783e+04,7.619e+03,1.176e+05
196.1,1.006e+05,1.913e+04,8.330e+03,1.281e+05
197.4,8.028e+04,1.517e+04,7.362e+03,1.028e+05
198.6,7.277e+04,1.499e+04,6.771e+03,9.453e+04
199.9,5.870e+04,1.414e+04,6.183e+03,7.902e+04
