freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.148e+04,3.911e+02,1.219e+03,5.309e+04
1.2,2.880e+05,2.086e+03,6.232e+03,2.963e+05
2.5,3.073e+05,2.674e+03,7.052e+03,3.170e+05
3.7,3.142e+05,2.683e+03,7.184e+03,3.241e+05
5.0,3.050e+05,2.677e+03,7.470e+03,3.152e+05
6.2,3.146e+05,2.724e+03,7.945e+03,3.253e+05
7.5,3.110e+05,2.834e+03,8.487e+03,3.223e+05
8.7,3.412e+05,2.753e+03,9.155e+03,3.531e+05
10.0,3.319e+05,2.806e+03,9.101e+03,3.438e+05
11.2,3.491e+05,2.917e+03,9.425e+03,3.615e+05
12.5,3.466e+05,2.955e+03,9.067e+03,3.586e+05
13.7,3.199e+05,3.109e+03,1.004e+04,3.331e+05
15.0,3.198e+05,3.206e+03,1.005e+04,3.331e+05
16.2,3.527e+05,3.199e+03,1.049e+04,3.664e+05
17.5,3.568e+05,3.413e+03,1.175e+04,3.720e+05
18.7,3.263e+05,3.423e+03,1.180e+04,3.416e+05
20.0,3.273e+05,3.470e+03,1.112e+04,3.419e+05
21.2,3.343e+05,3.496e+03,1.046e+04,3.482e+05
22.5,3.408e+05,3.575e+03,1.121e+04,3.556e+05
23.7,3.285e+05,3.556e+03,1.231e+04,3.444e+05
25.0,3.116e+05,3.823e+03,1.313e+04,3.286e+05
26.2,3.236e+05,3.962e+03,1.334e+04,3.409e+05
27.5,3.618e+05,3.992e+03,1.470e+04,3.805e+05
28.7,3.373e+05,4.123e+03,1.578e+04,3.572e+05
30.0,3.351e+05,4.076e+03,1.239e+04,3.515e+05
31.2,3.554e+05,4.234e+03,1.255e+04,3.721e+05
32.5,3.758e+05,4.405e+03,1.391e+04,3.941e+05
33.7,4.132e+05,4.650e+03,1.387e+04,4.317e+05
35.0,3.878e+05,4.545e+03,1.306e+04,4.054e+05
36.2,3.911e+05,4.044e+03,1.153e+04,4.067e+05
37.5,4.115e+05,4.368e+03,1.064e+04,4.265e+05
38.7,4.698e+05,4.439e+03,1.121e+04,4.854e+05
40.0,4.842e+05,4.849e+03,1.106e+04,5.002e+05
41.2,4.787e+05,5.109e+03,1.138e+04,4.952e+05
42.5,5.143e+05,4.737e+03,1.125e+04,5.303e+05
43.7,5.729e+05,4.450e+03,1.056e+04,5.879e+05
45.0,6.540e+05,4.464e+03,1.163e+04,6.701e+05
46.2,7.757e+05,4.871e+03,1.227e+04,7.928e+05
47.5,6.408e+05,4.487e+03,9.411e+03,6.547e+05
48.7,8.662e+05,4.567e+03,8.670e+03,8.795e+05
50.0,1.019e+06,4.865e+03,9.510e+03,1.034e+06
51.2,1.156e+06,4.570e+03,1.022e+04,1.171e+06
52.5,1.303e+06,5.008e+03,1.055e+04,1.318e+06
53.7,1.752e+06,5.617e+03,1.006e+04,1.768e+06
55.0,1.768e+06,5.139e+03,1.059e+04,1.784e+06
56.2,1.775e+06,5.244e+03,1.192e+04,1.792e+06
57.5,2.385e+06,5.562e+03,1.468e+04,2.405e+06
58.7,3.268e+06,5.729e+03,1.943e+04,3.293e+06
60.0,3.150e+06,5.710e+03,2.404e+04,3.179e+06
61.2,5.363e+06,5.899e+03,4.644e+04,5.416e+06
62.5,6.838e+06,7.219e+03,6.760e+04,6.912e+06
63.7,6.420e+06,8.064e+03,7.240e+04,6.500e+06
65.0,4.878e+06,7.934e+03,6.034e+04,4.947e+06
66.2,4.545e+06,9.249e+03,6.409e+04,4.618e+06
67.5,5.784e+06,1.242e+04,9.145e+04,5.888e+06
68.7,4.836e+06,1.475e+04,9.368e+04,4.945e+06
70.0,3.336e+06,1.379e+04,6.924e+04,3.419e+06
71.2,3.397e+06,1.716e+04,7.699e+04,3.491e+06
72.5,3.524e+06,2.142e+04,9.411e+04,3.639e+06
73.7,2.496e+06,2.211e+04,8.937e+04,2.608e+06
75.0,3.057e+06,2.805e+04,1.352e+05,3.220e+06
76.2,2.438e+06,2.761e+04,1.415e+05,2.607e+06
77.5,2.791e+06,3.400e+04,1.966e+05,3.021e+06
78.7,2.572e+06,3.630e+04,2.147e+05,2.823e+06
80.0,2.024e+06,3.261e+04,1.891e+05,2.246e+06
81.2,1.923e+06,3.106e+04,1.780e+05,2.132e+06
82.5,1.827e+06,2.871e+04,1.549e+05,2.011e+06
83.7,1.509e+06,2.459e+04,1.130e+05,1.646e+06
85.0,1.442e+06,2.563e+04,1.020e+05,1.569e+06
86.2,1.088e+06,2.252e+04,7.550e+04,1.186e+06
87.5,8.401e+05,2.432e+04,6.433e+04,9.288e+05
88.7,6.276e+05,2.235e+04,5.371e+04,7.036e+05
90.0,5.191e+05,1.723e+04,3.883e+04,5.751e+05
91.2,5.597e+05,1.960e+04,5.028e+04,6.296e+05
92.5,5.321e+05,1.964e+04,5.221e+04,6.039e+05
93.7,5.847e+05,2.247e+04,4.616e+04,6.533e+05
95.0,7.042e+05,2.064e+04,2.984e+04,7.547e+05
96.2,7.731e+05,2.087e+04,2.265e+04,8.167e+05
97.5,7.277e+05,1.769e+04,1.585e+04,7.612e+05
98.7,6.489e+05,1.463e+04,1.306e+04,6.766e+05
100.0,6.848e+05,1.516e+04,1.308e+04,7.130e+05
101.2,7.819e+05,1.566e+04,1.372e+04,8.113e+05
102.5,6.992e+05,1.370e+04,1.344e+04,7.263e+05
103.7,7.351e+05,1.390e+04,1.395e+04,7.629e+05
105.0,7.587e+05,1.491e+04,1.622e+04,7.898e+05
106.2,8.769e+05,1.774e+04,2.073e+04,9.154e+05
107.5,9.872e+05,2.191e+04,2.372e+04,1.033e+06
108.7,1.032e+06,2.296e+04,3.327e+04,1.089e+06
110.0,1.243e+06,2.513e+04,4.162e+04,1.310e+06
111.2,1.378e+06,2.664e+04,4.469e+04,1.450e+06
112.5,1.179e+06,2.529e+04,3.986e+04,1.244e+06
113.7,7.769e+05,1.916e+04,2.945e+04,8.255e+05
115.0,8.951e+05,2.339e+04,3.701e+04,9.555e+05
116.2,9.092e+05,2.465e+04,3.867e+04,9.725e+05
117.5,8.878e+05,2.731e+04,4.190e+04,9.570e+05
118.7,1.105e+06,4.176e+04,6.213e+04,1.209e+06
120.0,8.270e+05,3.523e+04,5.292e+04,9.152e+05
121.2,7.439e+05,3.531e+04,5.475e+04,8.340e+05
122.5,7.228e+05,4.289e+04,6.602e+04,8.317e+05
123.7,7.607e+05,4.909e+04,7.823e+04,8.880e+05
125.0,6.675e+05,4.367e+04,7.167e+04,7.829e+05
126.2,4.518e+05,2.883e+04,4.545e+04,5.261e+05
127.5,3.809e+05,2.409e+04,3.369e+04,4.387e+05
128.7,3.673e+05,2.259e+04,3.125e+04,4.211e+05
130.0,3.359e+05,2.018e+04,2.822e+04,3.843e+05
131.2,3.183e+05,1.956e+04,2.644e+04,3.643e+05
