freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.531e+02,6.503e+02,5.323e+03,6.327e+03
1.2,1.658e+03,3.400e+03,2.632e+04,3.138e+04
2.5,1.935e+03,4.290e+03,3.140e+04,3.763e+04
3.7,1.852e+03,4.602e+03,2.952e+04,3.597e+04
5.0,1.699e+03,4.404e+03,3.076e+04,3.686e+04
6.2,1.764e+03,4.588e+03,3.320e+04,3.956e+04
7.5,1.715e+03,4.949e+03,3.788e+04,4.455e+04
8.7,1.773e+03,4.670e+03,4.023e+04,4.668e+04
10.0,2.125e+03,4.519e+03,4.096e+04,4.760e+04
11.2,2.029e+03,4.173e+03,3.830e+04,4.450e+04
12.5,1.982e+03,4.747e+03,4.442e+04,5.115e+04
13.7,1.577e+03,4.610e+03,4.748e+04,5.367e+04
15.0,1.377e+03,4.496e+03,5.190e+04,5.778e+04
16.2,1.448e+03,4.686e+03,5.757e+04,6.371e+04
17.5,1.353e+03,4.598e+03,6.313e+04,6.908e+04
18.7,1.347e+03,4.338e+03,8.016e+04,8.585e+04
20.0,1.596e+03,5.220e+03,9.757e+04,1.044e+05
21.2,1.912e+03,7.092e+03,1.075e+05,1.165e+05
22.5,2.180e+03,7.165e+03,1.042e+05,1.136e+05
23.7,2.060e+03,6.321e+03,7.763e+04,8.601e+04
25.0,2.179e+03,6.625e+03,7.330e+04,8.211e+04
26.2,2.737e+03,7.070e+03,8.022e+04,9.002e+04
27.5,2.582e+03,7.497e+03,8.770e+04,9.778e+04
28.7,2.490e+03,7.810e+03,1.165e+05,1.268e+05
30.0,3.472e+03,9.451e+03,1.391e+05,1.520e+05
31.2,3.913e+03,9.690e+03,1.352e+05,1.488e+05
32.5,3.002e+03,1.085e+04,1.434e+05,1.572e+05
33.7,3.031e+03,1.258e+04,1.668e+05,1.824e+05
35.0,2.737e+03,1.095e+04,1.853e+05,1.990e+05
36.2,2.262e+03,9.568e+03,2.207e+05,2.326e+05
37.4,2.550e+03,1.115e+04,3.093e+05,3.230e+05
38.7,2.718e+03,1.576e+04,6.392e+05,6.577e+05
39.9,2.924e+03,1.931e+04,8.441e+05,8.663e+05
41.2,2.591e+03,1.645e+04,6.909e+05,7.099e+05
42.4,2.592e+03,1.478e+04,5.629e+05,5.802e+05
43.7,2.878e+03,1.215e+04,3.312e+05,3.463e+05
44.9,2.804e+03,1.295e+04,3.469e+05,3.626e+05
46.2,2.604e+03,1.354e+04,4.219e+05,4.380e+05
47.4,2.514e+03,1.396e+04,3.145e+05,3.309e+05
48.7,2.799e+03,1.461e+04,2.504e+05,2.678e+05
49.9,2.669e+03,1.464e+04,2.210e+05,2.384e+05
51.2,2.582e+03,1.713e+04,2.434e+05,2.631e+05
52.4,2.927e+03,2.083e+04,2.553e+05,2.790e+05
53.7,3.106e+03,2.108e+04,2.272e+05,2.514e+05
54.9,2.850e+03,2.128e+04,2.561e+05,2.802e+05
56.2,3.145e+03,1.852e+04,2.127e+05,2.343e+05
