freq,psd_x,psd_y,psd_z,psd_xyz
131.7,1.236e+04,2.514e+04,4.596e+04,8.346e+04
132.9,1.375e+04,2.471e+04,5.082e+04,8.928e+04
134.1,1.215e+04,2.473e+04,4.695e+04,8.383e+04
135.4,1.610e+04,2.354e+04,5.403e+04,9.367e+04
136.6,1.840e+04,2.392e+04,5.754e+04,9.985e+04
137.9,1.450e+04,3.189e+04,4.967e+04,9.606e+04
139.1,1.246e+04,3.216e+04,4.136e+04,8.598e+04
140.4,1.202e+04,3.283e+04,4.169e+04,8.654e+04
141.6,1.112e+04,3.600e+04,4.517e+04,9.229e+04
142.8,1.044e+04,3.187e+04,4.248e+04,8.479e+04
144.1,1.169e+04,3.768e+04,4.986e+04,9.922e+04
145.3,1.683e+04,3.465e+04,4.661e+04,9.808e+04
146.6,1.617e+04,2.723e+04,3.960e+04,8.300e+04
147.8,1.399e+04,2.390e+04,3.867e+04,7.656e+04
149.1,1.438e+04,2.679e+04,4.311e+04,8.428e+04
150.3,9.869e+03,2.320e+04,3.818e+04,7.125e+04
151.5,1.007e+04,2.349e+04,3.489e+04,6.845e+04
152.8,1.094e+04,2.342e+04,3.466e+04,6.901e+04
154.0,1.237e+04,2.431e+04,3.256e+04,6.923e+04
155.3,1.275e+04,2.368e+04,3.139e+04,6.782e+04
156.5,1.463e+04,2.275e+04,3.371e+04,7.109e+04
157.7,1.644e+04,2.377e+04,3.603e+04,7.625e+04
159.0,1.871e+04,2.248e+04,3.524e+04,7.642e+04
160.2,1.601e+04,1.901e+04,3.305e+04,6.807e+04
161.5,1.566e+04,1.825e+04,2.839e+04,6.230e+04
162.7,1.655e+04,1.794e+04,2.256e+04,5.705e+04
164.0,1.558e+04,1.476e+04,2.178e+04,5.212e+04
165.2,1.175e+04,1.195e+04,2.253e+04,4.623e+04
166.4,1.192e+04,1.191e+04,2.160e+04,4.543e+04
167.7,1.209e+04,1.097e+04,2.108e+04,4.414e+04
168.9,1.047e+04,9.969e+03,1.957e+04,4.001e+04
170.2,9.622e+03,9.089e+03,1.629e+04,3.500e+04
171.4,8.768e+03,7.600e+03,1.495e+04,3.132e+04
172.7,8.902e+03,8.288e+03,1.365e+04,3.084e+04
173.9,8.002e+03,8.631e+03,1.271e+04,2.935e+04
175.1,7.767e+03,7.307e+03,1.212e+04,2.719e+04
176.4,7.614e+03,7.492e+03,1.183e+04,2.693e+04
177.6,7.413e+03,7.773e+03,1.096e+04,2.614e+04
178.9,7.857e+03,7.919e+03,1.247e+04,2.825e+04
180.1,1.000e+04,8.500e+03,1.197e+04,3.047e+04
181.3,8.927e+03,8.648e+03,1.315e+04,3.073e+04
182.6,8.442e+03,8.441e+03,1.348e+04,3.036e+04
183.8,8.593e+03,8.341e+03,1.284e+04,2.978e+04
185.1,8.442e+03,7.958e+03,1.334e+04,2.974e+04
186.3,1.024e+04,9.710e+03,1.218e+04,3.213e+04
187.6,1.025e+04,9.661e+03,1.290e+04,3.281e+04
188.8,9.384e+03,8.555e+03,1.233e+04,3.027e+04
190.0,9.500e+03,8.267e+03,1.074e+04,2.851e+04
191.3,9.245e+03,8.273e+03,1.058e+04,2.810e+04
192.5,8.524e+03,7.989e+03,1.086e+04,2.738e+04
193.8,1.013e+04,9.563e+03,1.228e+04,3.198e+04
195.0,1.054e+04,9.168e+03,1.353e+04,3.323e+04
196.3,1.274e+04,1.027e+04,1.377e+04,3.678e+04
197.5,1.094e+04,9.743e+03,1.348e+04,3.417e+04
198.7,1.148e+04,9.399e+03,1.390e+04,3.478e+04
200.0,1.711e+04,1.186e+04,1.429e+04,4.327e+04
