freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.927e+04,6.735e+02,9.698e+02,5.092e+04
1.2,2.409e+05,3.036e+03,5.063e+03,2.490e+05
2.5,3.143e+05,3.640e+03,6.867e+03,3.248e+05
3.7,3.498e+05,3.700e+03,7.883e+03,3.613e+05
5.0,3.867e+05,3.673e+03,8.294e+03,3.986e+05
6.2,3.505e+05,3.685e+03,7.806e+03,3.620e+05
7.4,3.327e+05,3.664e+03,7.271e+03,3.436e+05
8.7,3.109e+05,3.659e+03,6.745e+03,3.213e+05
9.9,3.021e+05,3.551e+03,6.145e+03,3.118e+05
11.2,3.332e+05,3.602e+03,6.805e+03,3.436e+05
12.4,3.252e+05,4.196e+03,7.901e+03,3.373e+05
13.6,3.195e+05,4.555e+03,8.061e+03,3.321e+05
14.9,3.862e+05,4.861e+03,8.842e+03,3.999e+05
16.1,3.792e+05,5.244e+03,9.288e+03,3.937e+05
17.4,3.275e+05,5.339e+03,9.456e+03,3.422e+05
18.6,3.135e+05,5.307e+03,1.001e+04,3.288e+05
19.9,3.058e+05,4.487e+03,9.140e+03,3.195e+05
21.1,2.992e+05,4.223e+03,9.457e+03,3.129e+05
22.3,2.925e+05,4.133e+03,9.741e+03,3.064e+05
23.6,3.135e+05,4.028e+03,1.048e+04,3.280e+05
24.8,3.150e+05,4.697e+03,1.391e+04,3.336e+05
26.1,2.914e+05,4.376e+03,1.111e+04,3.069e+05
27.3,2.874e+05,4.107e+03,9.762e+03,3.013e+05
28.5,2.950e+05,4.520e+03,1.083e+04,3.103e+05
29.8,2.858e+05,4.365e+03,9.631e+03,2.998e+05
31.0,2.939e+05,5.229e+03,1.308e+04,3.122e+05
32.3,2.975e+05,6.196e+03,1.791e+04,3.216e+05
33.5,3.221e+05,5.878e+03,1.710e+04,3.451e+05
34.7,3.233e+05,5.012e+03,1.389e+04,3.422e+05
36.0,3.141e+05,4.269e+03,9.073e+03,3.274e+05
37.2,3.604e+05,4.576e+03,9.399e+03,3.744e+05
38.5,3.869e+05,4.683e+03,9.326e+03,4.009e+05
39.7,4.122e+05,4.521e+03,9.602e+03,4.264e+05
40.9,4.524e+05,4.789e+03,1.041e+04,4.676e+05
42.2,4.516e+05,4.994e+03,1.064e+04,4.673e+05
43.4,5.153e+05,4.866e+03,1.141e+04,5.316e+05
44.7,5.465e+05,5.623e+03,1.444e+04,5.666e+05
45.9,5.417e+05,5.286e+03,1.315e+04,5.602e+05
47.1,5.882e+05,4.996e+03,1.003e+04,6.033e+05
48.4,6.123e+05,5.055e+03,8.842e+03,6.262e+05
49.6,6.970e+05,5.210e+03,8.663e+03,7.109e+05
