freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.464e+01,1.938e+02,1.266e+03,1.494e+03
1.2,1.789e+02,1.047e+03,6.697e+03,7.923e+03
2.5,2.189e+02,1.165e+03,7.732e+03,9.116e+03
3.7,2.551e+02,1.131e+03,7.287e+03,8.673e+03
5.0,2.560e+02,1.074e+03,7.515e+03,8.844e+03
6.2,2.704e+02,1.122e+03,9.135e+03,1.053e+04
7.5,2.752e+02,1.166e+03,9.848e+03,1.129e+04
8.7,2.743e+02,1.175e+03,1.049e+04,1.194e+04
10.0,3.076e+02,1.274e+03,1.237e+04,1.395e+04
11.2,2.818e+02,1.209e+03,1.489e+04,1.639e+04
12.5,3.771e+02,1.242e+03,1.959e+04,2.121e+04
13.7,5.280e+02,1.314e+03,2.050e+04,2.234e+04
14.9,3.687e+02,1.213e+03,1.998e+04,2.156e+04
16.2,3.133e+02,1.261e+03,2.298e+04,2.456e+04
17.4,3.188e+02,1.286e+03,2.701e+04,2.862e+04
18.7,3.185e+02,1.235e+03,2.848e+04,3.004e+04
19.9,3.313e+02,1.264e+03,3.140e+04,3.299e+04
21.2,3.347e+02,1.435e+03,3.949e+04,4.126e+04
22.4,4.667e+02,1.467e+03,4.925e+04,5.118e+04
23.7,9.097e+02,1.470e+03,5.469e+04,5.707e+04
24.9,1.375e+03,1.609e+03,5.074e+04,5.373e+04
26.2,1.453e+03,1.736e+03,4.180e+04,4.499e+04
27.4,1.251e+03,1.611e+03,4.263e+04,4.550e+04
28.6,9.295e+02,2.021e+03,5.061e+04,5.356e+04
29.9,9.619e+02,2.422e+03,6.153e+04,6.491e+04
31.1,8.319e+02,2.243e+03,5.872e+04,6.179e+04
32.4,6.832e+02,2.250e+03,5.956e+04,6.250e+04
33.6,5.547e+02,2.259e+03,5.293e+04,5.574e+04
34.9,5.167e+02,2.720e+03,5.796e+04,6.120e+04
36.1,4.894e+02,2.593e+03,5.198e+04,5.507e+04
37.4,5.223e+02,2.381e+03,4.474e+04,4.765e+04
38.6,5.047e+02,2.306e+03,3.987e+04,4.268e+04
39.9,5.076e+02,2.502e+03,3.409e+04,3.710e+04
41.1,4.841e+02,2.597e+03,3.257e+04,3.565e+04
42.3,5.216e+02,2.687e+03,3.270e+04,3.591e+04
43.6,5.596e+02,2.314e+03,2.513e+04,2.800e+04
44.8,4.684e+02,2.136e+03,2.592e+04,2.853e+04
46.1,4.805e+02,2.325e+03,3.446e+04,3.726e+04
47.3,5.636e+02,2.477e+03,3.661e+04,3.965e+04
48.6,5.524e+02,2.427e+03,3.583e+04,3.881e+04
49.8,5.056e+02,2.389e+03,3.314e+04,3.603e+04
51.1,4.763e+02,2.377e+03,2.986e+04,3.272e+04
52.3,4.633e+02,2.386e+03,2.890e+04,3.175e+04
53.5,4.005e+02,2.301e+03,2.551e+04,2.821e+04
54.8,4.764e+02,2.494e+03,2.948e+04,3.245e+04
56.0,5.648e+02,2.715e+03,2.793e+04,3.121e+04
57.3,5.902e+02,2.922e+03,2.602e+04,2.953e+04
58.5,5.992e+02,3.049e+03,2.787e+04,3.152e+04
59.8,6.124e+02,2.947e+03,2.335e+04,2.691e+04
61.0,6.281e+02,3.100e+03,2.277e+04,2.650e+04
62.3,5.842e+02,3.321e+03,2.118e+04,2.508e+04
63.5,5.979e+02,3.408e+03,2.131e+04,2.532e+04
64.8,6.534e+02,3.976e+03,2.424e+04,2.887e+04
66.0,6.334e+02,4.020e+03,2.645e+04,3.110e+04
67.2,7.619e+02,4.074e+03,2.480e+04,2.963e+04
68.5,1.011e+03,5.338e+03,3.831e+04,4.466e+04
69.7,1.089e+03,5.854e+03,4.935e+04,5.629e+04
71.0,1.395e+03,7.462e+03,5.742e+04,6.628e+04
72.2,1.248e+03,6.534e+03,7.402e+04,8.180e+04
73.5,1.383e+03,6.894e+03,7.018e+04,7.845e+04
74.7,1.562e+03,7.868e+03,8.028e+04,8.971e+04
76.0,1.701e+03,7.517e+03,1.003e+05,1.095e+05
77.2,1.695e+03,8.498e+03,1.260e+05,1.362e+05
78.5,1.437e+03,9.017e+03,1.302e+05,1.407e+05
79.7,1.340e+03,8.638e+03,1.322e+05,1.422e+05
80.9,1.151e+03,7.555e+03,9.391e+04,1.026e+05
82.2,1.418e+03,8.087e+03,1.120e+05,1.215e+05
83.4,1.924e+03,9.171e+03,1.257e+05,1.368e+05
84.7,2.484e+03,1.118e+04,1.611e+05,1.748e+05
85.9,2.132e+03,9.473e+03,1.144e+05,1.260e+05
87.2,3.612e+03,1.458e+04,1.672e+05,1.854e+05
88.4,4.412e+03,2.205e+04,2.191e+05,2.456e+05
89.7,3.456e+03,1.866e+04,1.887e+05,2.108e+05
90.9,2.490e+03,1.568e+04,1.591e+05,1.773e+05
92.2,1.830e+03,1.500e+04,1.395e+05,1.563e+05
93.4,1.785e+03,1.625e+04,1.395e+05,1.575e+05
94.6,1.605e+03,1.365e+04,1.102e+05,1.255e+05
95.9,2.163e+03,1.911e+04,1.596e+05,1.809e+05
97.1,1.942e+03,1.661e+04,1.090e+05,1.276e+05
98.4,1.925e+03,1.468e+04,8.583e+04,1.024e+05
99.6,2.079e+03,1.221e+04,7.705e+04,9.135e+04
100.9,2.178e+03,9.514e+03,5.497e+04,6.666e+04
102.1,1.892e+03,8.855e+03,4.461e+04,5.536e+04
103.4,2.261e+03,1.023e+04,5.890e+04,7.139e+04
104.6,2.977e+03,8.566e+03,5.025e+04,6.179e+04
105.9,3.672e+03,9.009e+03,4.209e+04,5.477e+04
107.1,3.490e+03,9.911e+03,4.488e+04,5.828e+04
108.3,2.529e+03,7.838e+03,4.461e+04,5.498e+04
109.6,2.640e+03,9.195e+03,4.784e+04,5.968e+04
110.8,3.406e+03,9.724e+03,4.415e+04,5.728e+04
112.1,2.936e+03,8.120e+03,3.374e+04,4.480e+04
113.3,2.876e+03,9.128e+03,3.556e+04,4.756e+04
114.6,2.774e+03,8.957e+03,2.901e+04,4.074e+04
115.8,2.710e+03,8.268e+03,2.223e+04,3.321e+04
117.1,2.216e+03,6.682e+03,1.762e+04,2.651e+04
118.3,1.846e+03,6.716e+03,1.860e+04,2.716e+04
119.6,1.976e+03,7.160e+03,1.739e+04,2.652e+04
120.8,1.917e+03,5.238e+03,1.279e+04,1.995e+04
122.0,1.730e+03,5.086e+03,1.167e+04,1.848e+04
123.3,1.820e+03,5.820e+03,1.209e+04,1.973e+04
124.5,2.197e+03,6.475e+03,1.206e+04,2.073e+04
125.8,2.332e+03,7.270e+03,1.385e+04,2.345e+04
127.0,1.967e+03,7.084e+03,1.255e+04,2.161e+04
128.3,2.106e+03,8.945e+03,1.407e+04,2.512e+04
129.5,2.414e+03,8.612e+03,1.363e+04,2.466e+04
130.8,2.490e+03,9.241e+03,1.479e+04,2.652e+04
132.0,2.074e+03,8.810e+03,1.314e+04,2.403e+04
133.3,2.662e+03,1.161e+04,1.546e+04,2.973e+04
134.5,3.232e+03,1.273e+04,1.464e+04,3.060e+04
135.7,2.914e+03,1.199e+04,1.376e+04,2.866e+04
137.0,2.822e+03,1.259e+04,1.353e+04,2.894e+04
